repo_owner,repo_name,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,dit_mean,dit_median,dit_std,dit_min,dit_max,loc_mean,loc_median,loc_std,loc_min,loc_max
OpenAPITools_openapi,generator,5.169981498612396,4.0,6.084455790504347,0.0,99.0,1.2391304347826086,1.0,0.6693340917671488,1.0,13.0,59.640379278445884,19.0,172.08677035858747,1.0,6010.0
OpenFeign_feign,OpenFeign_feign,5.134723336006416,3.0,6.314609323985716,0.0,59.0,1.6824378508420208,1.0,3.2479460590772304,1.0,92.0,30.02886928628709,9.0,63.105156707947295,1.0,769.0
opengoofy_hippo4j,opengoofy_hippo4j,4.646310432569974,3.0,4.911224752105022,0.0,61.0,1.2027141645462256,1.0,0.5903520536603519,1.0,5.0,25.15691263782867,12.0,35.038518353218016,1.0,543.0
OpenHFT_Chronicle,Queue,5.49498997995992,4.0,6.248652461148779,0.0,53.0,1.591182364729459,1.0,0.857990088975824,1.0,8.0,55.23246492985972,21.0,137.58297265867847,1.0,2215.0
OpenRefine_OpenRefine,OpenRefine_OpenRefine,6.696991404011461,5.0,6.614572126643116,0.0,129.0,1.6883954154727794,1.0,0.8942075668248288,1.0,9.0,52.220630372492835,26.0,95.7550415897421,1.0,2551.0
opensearch,project_OpenSearch,7.461877455665286,5.0,9.974115940621559,0.0,341.0,1.7340979080386536,1.0,1.531772258868016,1.0,141.0,67.36205798024848,23.5,145.85884200426915,1.0,5698.0
OpenTSDB_opentsdb,OpenTSDB_opentsdb,7.139874739039666,4.0,7.678169789172224,0.0,65.0,1.2839248434237995,1.0,0.8014957559470774,1.0,16.0,109.22338204592901,23.0,217.12974754464344,1.0,3181.0
oracle_opengrok,oracle_opengrok,5.351950354609929,3.0,6.794177508111643,0.0,77.0,1.6382978723404256,1.0,1.299247455350613,1.0,7.0,62.61879432624114,25.0,113.74790414739053,1.0,1504.0
orhanobut_dialogplus,orhanobut_dialogplus,5.241379310344827,3.0,6.29430112093354,1.0,28.0,1.0344827586206897,1.0,0.1856953381770519,1.0,2.0,36.10344827586207,8.0,63.94939116631113,3.0,262.0
orhanobut_hawk,orhanobut_hawk,3.6153846153846154,2.0,4.243365862868043,0.0,17.0,1.0384615384615385,1.0,0.196116135138184,1.0,2.0,32.07692307692308,16.5,36.641968371716146,2.0,120.0
orhanobut_logger,orhanobut_logger,5.833333333333333,6.0,3.053445498410723,0.0,11.0,1.1666666666666667,1.0,0.3834824944236852,1.0,2.0,45.94444444444444,36.0,44.305718953947064,3.0,152.0
orientechnologies_orientdb,orientechnologies_orientdb,6.477718360071301,4.0,9.06397563881565,0.0,225.0,1.609229550406021,1.0,0.9231579833553849,1.0,7.0,89.11428005545653,29.0,581.7958871041195,1.0,38905.0
oshi_oshi,oshi_oshi,5.599105812220566,4.0,6.121793643058385,0.0,51.0,1.5901639344262295,1.0,1.2400620362233528,1.0,19.0,54.30253353204173,28.0,75.98779935152783,1.0,748.0
osmandapp_OsmAnd,osmandapp_OsmAnd,8.737208147044212,5.0,10.917756544779536,0.0,123.0,1.6130153999006458,1.0,1.4233546831641883,1.0,59.0,113.25169730087762,27.0,690.9576788642471,1.0,47514.0
paascloud_paascloud,master,6.10377358490566,4.0,6.045152800427452,0.0,59.0,1.3153638814016173,1.0,0.5426541109636764,1.0,5.0,22.140161725067387,11.0,39.80809944747719,2.0,649.0
pagehelper_Mybatis,PageHelper,5.8121546961325965,6.0,4.901027817185395,0.0,30.0,1.441988950276243,1.0,0.8519288049867279,1.0,5.0,40.828729281767956,23.0,55.882997345035044,1.0,339.0
PaperMC_Paper,PaperMC_Paper,6.896518607442977,5.0,11.945847227173882,0.0,291.0,1.6857142857142857,1.0,1.2943014093821155,1.0,22.0,38.551980792316925,16.0,103.1809821659481,1.0,2225.0
pardom,zz_ActiveAndroid,5.435483870967742,3.0,5.541559725227201,0.0,21.0,1.7419354838709677,1.0,1.0232619630132658,1.0,6.0,50.935483870967744,22.0,63.86278091210564,1.0,258.0
PBH,BTN_PeerBanHelper,6.373182552504039,4.0,8.040632535452701,0.0,60.0,1.3247172859450727,1.0,0.7033574424061292,1.0,6.0,42.46526655896607,15.0,70.87362840040848,1.0,619.0
pedant_sweet,alert-dialog,4.375,1.5,5.5362442142665635,0.0,19.0,1.25,1.0,0.4472135954999579,1.0,2.0,58.9375,23.0,80.84179508975127,3.0,307.0
pedrovgs_AndroidWiFiADB,pedrovgs_AndroidWiFiADB,2.8666666666666667,2.0,3.1484351157616253,0.0,14.0,1.5,1.0,1.0747894741730137,1.0,5.0,36.53333333333333,15.5,39.24962844834755,4.0,134.0
pedrovgs_EffectiveAndroidUI,pedrovgs_EffectiveAndroidUI,4.438356164383562,3.0,4.648734300173253,0.0,20.0,1.3424657534246576,1.0,0.6284720908280429,1.0,3.0,26.34246575342466,11.0,42.712611713534585,3.0,319.0
pentaho_pentaho,kettle,6.010904134484325,2.0,9.32206126347144,0.0,301.0,1.278964107223989,1.0,0.6145263970993824,1.0,18.0,69.70804179918218,10.0,199.80487549452644,1.0,7104.0
permissions,dispatcher_PermissionsDispatcher,1.6218487394957983,0.0,3.28321771850358,0.0,14.0,1.226890756302521,1.0,0.5278189017545916,1.0,4.0,26.756302521008404,11.0,97.12633450310686,3.0,1025.0
perwendel_spark,perwendel_spark,4.542986425339366,3.0,4.73422818369261,0.0,28.0,1.2986425339366516,1.0,0.781285632671563,1.0,5.0,43.38461538461539,20.0,60.81141892217835,1.0,411.0
PhilJay_MPAndroidChart,PhilJay_MPAndroidChart,8.843137254901961,5.0,10.006632323275921,0.0,45.0,1.9803921568627452,1.0,1.2305967537333011,1.0,6.0,68.99019607843137,25.0,98.04777976416773,1.0,657.0
phishman3579_java,algorithms-implementation,3.710706150341686,3.0,3.6634252010119677,0.0,47.0,1.5831435079726652,1.0,2.173268093306907,1.0,41.0,72.34168564920273,31.0,128.85373417503556,1.0,1513.0
phodal_migration,phodal_migration,1.4166666666666667,1.0,0.6685579234215214,1.0,3.0,1.0,1.0,0.0,1.0,1.0,8.416666666666666,8.0,3.2039275140289165,4.0,14.0
Piasy_BigImageViewer,Piasy_BigImageViewer,4.607142857142857,3.0,4.817182741988038,0.0,34.0,1.2857142857142858,1.0,0.5280431839639718,1.0,4.0,29.916666666666668,11.0,54.03840854793536,3.0,460.0
pig,mesh_pig,6.910526315789474,5.0,6.3226689145069015,0.0,38.0,1.3105263157894738,1.0,0.5842205974027811,1.0,5.0,19.85,12.0,27.758877445690324,1.0,296.0
pingfangushi_screw,pingfangushi_screw,4.985294117647059,3.0,4.465481259149678,0.0,19.0,1.3529411764705883,1.0,0.7937665648521132,1.0,5.0,28.977941176470587,19.0,30.150355789747593,3.0,129.0
pinpoint,apm_pinpoint,5.208080362070869,4.0,5.709834018364908,0.0,114.0,1.1425102108400487,1.0,0.4976228896206424,1.0,20.0,31.46727011811458,18.0,46.252084919665926,1.0,849.0
plantuml_plantuml,plantuml_plantuml,7.133163913595934,5.0,7.562991228787036,0.0,132.0,1.542312579415502,1.0,0.9106924235280023,1.0,19.0,47.47445997458704,21.0,94.19621861426874,1.0,1832.0
PlexPt_chatgpt,java,5.27536231884058,3.0,6.444067171051978,0.0,40.0,1.2753623188405796,1.0,0.7252597500412097,1.0,4.0,29.130434782608695,8.0,62.1014144585239,2.0,376.0
pmd_pmd,pmd_pmd,5.726537613330066,4.0,8.490606343051464,0.0,163.0,2.053173241852487,2.0,2.5725483954039796,1.0,143.0,35.930899289389856,13.0,151.02691010830702,1.0,8244.0
pockethub_PocketHub,pockethub_PocketHub,6.5754716981132075,5.0,5.341331486748215,0.0,43.0,1.4811320754716981,1.0,0.7632697444891576,1.0,4.0,32.924528301886795,21.0,40.60156607845185,3.0,342.0
PojavLauncherTeam_PojavLauncher,PojavLauncherTeam_PojavLauncher,6.233830845771144,3.0,8.193120997035477,0.0,66.0,1.4104477611940298,1.0,0.6906502761872096,1.0,6.0,67.53482587064677,23.5,252.5479042108473,1.0,4751.0
PowerJob_PowerJob,PowerJob_PowerJob,5.7456953642384105,4.0,6.216600253630598,0.0,43.0,1.1841059602649007,1.0,0.5467643811481135,1.0,5.0,32.69403973509934,14.0,62.06422962045354,1.0,1173.0
powermock_powermock,powermock_powermock,3.4397163120567376,2.0,4.0205150471523945,0.0,41.0,1.2427107959022852,1.0,0.6448320856323444,1.0,7.0,25.98581560283688,11.0,62.69431462031027,1.0,1431.0
pqpo_SmartCropper,pqpo_SmartCropper,6.25,3.0,7.387027942155209,1.0,25.0,1.3333333333333333,1.0,0.49236596391733095,1.0,2.0,85.08333333333333,13.0,176.31864663589937,4.0,624.0
prestodb_presto,prestodb_presto,8.763722195551289,6.0,12.084930809239928,0.0,404.0,1.3739798367738838,1.0,0.9232367124849707,1.0,34.0,60.704832773243716,27.0,121.05480111840983,1.0,3470.0
processing_processing,processing_processing,3.7310195227765726,2.0,5.985259929086465,0.0,58.0,1.6420824295010845,1.0,2.0043078475113036,1.0,28.0,118.94902386117137,14.0,455.156813492617,1.0,9230.0
prolificinteractive_material,calendarview,6.454545454545454,4.0,7.561105999054941,0.0,57.0,1.5340909090909092,1.0,0.7263333143912417,1.0,4.0,41.56818181818182,15.0,111.74795073381856,3.0,981.0
promeG_TinyPinyin,promeG_TinyPinyin,2.0615384615384613,1.0,2.952101598209968,0.0,11.0,1.0923076923076922,1.0,0.34109552012032324,1.0,3.0,21.523076923076925,7.0,43.31429747074994,3.0,323.0
provectus_kafka,ui,7.243664717348928,5.0,7.312038167885612,0.0,64.0,1.510721247563353,1.0,1.0736465254442173,1.0,7.0,35.358674463937625,20.0,42.26076979734896,1.0,338.0
proxyee,down-org_proxyee-down,5.516666666666667,4.0,6.223225134401482,0.0,34.0,1.4666666666666666,1.0,0.9291269214473296,1.0,5.0,56.53333333333333,36.5,62.740106024414736,2.0,321.0
puniverse_quasar,puniverse_quasar,3.386953298739807,2.0,5.114998772886503,0.0,80.0,1.497405485544848,1.0,1.1706223835997343,1.0,13.0,39.11786508524833,12.0,92.11579225935867,1.0,1259.0
pxb1988_dex2jar,pxb1988_dex2jar,5.42907180385289,3.0,6.850518921061209,0.0,51.0,1.5709281961471104,1.0,0.9821900056078066,1.0,12.0,73.05779334500876,22.0,158.31327532868988,1.0,1559.0
pytorch_serve,pytorch_serve,5.800796812749004,3.0,7.263618888856284,0.0,36.0,1.4661354581673307,1.0,0.8999158880571503,1.0,5.0,74.68924302788845,35.0,130.7154736204735,1.0,1373.0
Qihoo360_RePlugin,Qihoo360_RePlugin,5.197368421052632,3.0,6.257169398677635,0.0,52.0,1.4166666666666667,1.0,0.6774764637788968,1.0,5.0,66.39254385964912,22.5,114.18435772328623,1.0,885.0
qiurunze123_miaosha,qiurunze123_miaosha,4.146853146853147,3.0,4.53981689399364,0.0,26.0,1.1258741258741258,1.0,0.39053957936101535,1.0,4.0,30.003496503496503,13.0,73.64549977326772,1.0,1084.0
qstumn_BadgeView,qstumn_BadgeView,4.3428571428571425,2.0,5.351980706149042,0.0,26.0,1.3142857142857143,1.0,0.5826626797035551,1.0,3.0,50.25714285714286,21.0,123.17236675802373,3.0,704.0
quarkusio_quarkus,quarkusio_quarkus,5.160787687601568,4.0,6.334359089180926,0.0,175.0,1.2230188318516395,1.0,0.6356040073359812,1.0,21.0,28.86444890545837,11.0,72.98363317931556,1.0,4502.0
quartz,scheduler_quartz,5.575697211155378,3.0,6.290794768097553,0.0,49.0,1.4422310756972112,1.0,0.8308242080374861,1.0,7.0,69.00996015936255,25.0,171.54965267738362,1.0,2034.0
querydsl_querydsl,querydsl_querydsl,5.204207920792079,3.0,6.1907475507787915,0.0,81.0,1.9873143564356435,1.0,2.138972344173898,1.0,23.0,30.518564356435643,12.0,68.27002499369412,1.0,1292.0
Querz_mcaselector,Querz_mcaselector,6.8474576271186445,5.0,7.048169047374713,0.0,64.0,2.4369114877589455,1.0,3.0796460636015404,1.0,31.0,68.49905838041431,32.0,111.1325466442661,1.0,964.0
qunarcorp_bistoury,qunarcorp_bistoury,4.837619397501837,3.0,5.845379892981338,0.0,55.0,1.2792064658339457,1.0,0.7235032943251458,1.0,9.0,54.10580455547392,23.0,92.83568170248289,1.0,834.0
rabbitmq_rabbitmq,tutorials,4.588235294117647,4.0,2.6621530428450977,1.0,17.0,1.0,1.0,0.0,1.0,1.0,29.019607843137255,21.0,46.75232195135485,5.0,338.0
Ramotion_folding,cell-android,4.142857142857143,2.0,4.51979771987325,0.0,19.0,1.3333333333333333,1.0,0.48304589153964794,1.0,2.0,38.666666666666664,10.0,67.39164142038189,1.0,304.0
raphw_byte,buddy,6.147154471544716,4.0,8.08231180168926,0.0,159.0,1.6159349593495935,1.0,1.9834589350130314,1.0,43.0,46.54113821138211,13.0,185.194600411222,1.0,5371.0
razerdp_BasePopup,razerdp_BasePopup,5.887323943661972,3.0,6.571381050490714,0.0,59.0,1.6954225352112675,1.0,1.2086607646799852,1.0,10.0,49.80105633802817,16.0,93.28026192714145,1.0,1035.0
rbmonster_learning,note,2.1945288753799392,2.0,2.4116347563001908,0.0,23.0,1.1732522796352585,1.0,0.5465391878894915,1.0,4.0,20.316109422492403,13.0,23.36059233705525,1.0,360.0
react,native-camera_react-native-camera,,,,,,,,,,,,,,,
react,native-image-picker_react-native-image-picker,6.181818181818182,4.0,6.431456783935998,1.0,22.0,1.5454545454545454,2.0,0.5222329678670935,1.0,2.0,73.72727272727273,21.0,132.26117412838198,2.0,448.0
react,native-linear-gradient_react-native-linear-gradient,5.157894736842105,4.0,3.387282717832439,1.0,12.0,1.631578947368421,1.0,0.7608859102526822,1.0,3.0,25.68421052631579,13.0,33.42662383918767,5.0,151.0
react,native-share_react-native-share,5.585365853658536,3.0,4.91922559838486,0.0,22.0,2.073170731707317,2.0,0.905269128558989,1.0,3.0,43.707317073170735,21.0,54.28823256583282,2.0,287.0
react,native-webrtc_react-native-webrtc,6.119402985074627,4.0,9.421964004324089,0.0,58.0,1.1492537313432836,1.0,0.35902778415670306,1.0,2.0,60.985074626865675,18.0,155.29458736468274,3.0,1134.0
reactive,streams_reactive-streams-jvm,3.122004357298475,3.0,2.646233112477147,0.0,17.0,1.2766884531590414,1.0,0.7982794905825402,1.0,7.0,34.287581699346404,13.0,84.74830496708518,1.0,809.0
ReactiveX_RxAndroid,ReactiveX_RxAndroid,2.272727272727273,1.0,3.788161605603482,0.0,18.0,1.1272727272727272,1.0,0.4326723786023175,1.0,3.0,26.4,6.0,80.5657311580863,3.0,581.0
ReactiveX_RxJava,ReactiveX_RxJava,2.5245639167439116,1.0,5.253586172690114,0.0,237.0,1.3186989129518834,1.0,0.8862814172994147,1.0,26.0,31.222297126485213,5.0,103.56535963591362,1.0,2838.0
reactor_reactor,core,7.188418708240534,7.0,8.20414928297894,0.0,231.0,1.6824053452115812,1.0,1.6322500424386377,1.0,43.0,90.17149220489978,32.0,154.79099959023742,1.0,1948.0
redisson_redisson,redisson_redisson,5.957237995092885,3.0,10.733393890206147,0.0,204.0,1.342446547493866,1.0,0.7620996231389515,1.0,7.0,59.16719242902208,15.0,155.75164002118464,1.0,2269.0
redis_jedis,redis_jedis,5.538083538083538,3.0,8.760262324627863,0.0,151.0,1.4201474201474202,1.0,0.8509706961996225,1.0,7.0,89.90090090090091,26.0,254.51401296248835,1.0,4279.0
redis_lettuce,redis_lettuce,6.310123456790124,4.0,8.408929779357061,0.0,142.0,1.3925925925925926,1.0,0.9474557382449301,1.0,20.0,54.24691358024691,21.0,131.69763125683394,1.0,3299.0
RedSpider1_concurrent,RedSpider1_concurrent,,,,,,,,,,,,,,,
