name,url,stars,created_at,pushed_at,updated_at,language
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,27065,2017-12-17T09:06:50Z,2024-05-21T02:46:20Z,2025-09-19T01:45:36Z,Java
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,26511,2018-09-14T04:36:24Z,2025-04-18T06:23:43Z,2025-09-18T09:42:50Z,Java
ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,26061,2023-10-25T01:50:42Z,2025-09-09T18:27:08Z,2025-09-19T16:37:22Z,Java
apache/incubator-seata,https://github.com/apache/incubator-seata,25810,2018-12-28T08:37:22Z,2025-09-18T04:35:54Z,2025-09-19T14:09:06Z,Java
alibaba/fastjson,https://github.com/alibaba/fastjson,25748,2011-11-03T06:58:52Z,2024-07-16T07:35:37Z,2025-09-19T05:18:18Z,Java
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25481,2013-03-05T08:18:59Z,2023-09-02T07:41:30Z,2025-09-19T18:17:08Z,Java
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,25469,2018-10-25T09:54:54Z,2024-01-03T13:58:24Z,2025-09-19T03:07:30Z,Java
apache/flink,https://github.com/apache/flink,25276,2014-06-07T07:00:10Z,2025-09-19T17:41:50Z,2025-09-19T18:30:56Z,Java
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,25154,2017-06-02T09:52:50Z,2024-12-04T12:28:17Z,2025-09-17T13:36:31Z,Java
OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,24870,2018-05-12T09:57:56Z,2025-09-19T09:10:35Z,2025-09-19T13:27:22Z,Java
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,24867,2017-10-25T10:07:27Z,2024-07-16T09:22:28Z,2025-09-19T12:48:44Z,Java
Anuken/Mindustry,https://github.com/Anuken/Mindustry,24828,2017-04-30T01:24:29Z,2025-09-19T18:08:20Z,2025-09-19T18:08:24Z,Java
greenrobot/EventBus,https://github.com/greenrobot/EventBus,24765,2012-07-16T16:55:40Z,2024-02-21T18:18:34Z,2025-09-19T07:42:58Z,Java
bazelbuild/bazel,https://github.com/bazelbuild/bazel,24573,2014-06-12T16:00:38Z,2025-09-19T18:00:37Z,2025-09-19T18:00:41Z,Java
yuliskov/SmartTube,https://github.com/yuliskov/SmartTube,24532,2020-07-28T12:53:52Z,2025-09-19T06:31:44Z,2025-09-19T17:07:41Z,Java
apache/skywalking,https://github.com/apache/skywalking,24525,2015-11-07T03:30:36Z,2025-09-19T08:17:18Z,2025-09-19T11:47:14Z,Java
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,24447,2010-11-22T21:21:23Z,2025-09-19T12:56:40Z,2025-09-19T10:48:29Z,Java
Netflix/Hystrix,https://github.com/Netflix/Hystrix,24401,2012-11-19T20:14:46Z,2023-10-17T13:04:47Z,2025-09-19T15:36:57Z,Java
libgdx/libgdx,https://github.com/libgdx/libgdx,24354,2012-08-10T19:34:38Z,2025-09-07T08:56:03Z,2025-09-19T05:56:14Z,Java
CodePhiliaX/Chat2DB,https://github.com/CodePhiliaX/Chat2DB,24272,2023-06-20T14:05:26Z,2025-09-12T03:58:17Z,2025-09-19T17:09:14Z,Java
