owner,repo,Total_Classes,CBO_Média,CBO_Mediana,CBO_Moda,CBO_DesvioPadrao,CBO_Mínimo,CBO_Máximo,CBO_P90,%CBO_Outliers,%CBO_Acima_14,DIT_Média,DIT_Mediana,DIT_Moda,DIT_DesvioPadrao,DIT_Mínimo,DIT_Máximo,DIT_P90,%DIT_Outliers,%DIT_Acima_7,LOC_Média,LOC_Mediana,LOC_Moda,LOC_DesvioPadrao,LOC_Mínimo,LOC_Máximo,LOC_P90,%LOC_Outliers,%LOC_Acima_500,LCOM_Média,LCOM_Mediana,LCOM_Moda,LCOM_DesvioPadrao,LCOM_Mínimo,LCOM_Máximo,LCOM_P90,%LCOM_Outliers,Média_Coment_Classe,Coment/LOC,Média_Coment_Repo
DataLinkDC,dinky,1333,7.131,5.0,0,8.088,0,76,17.0,4.801,12.378,1.356,1.0,1,0.711,1,5,2.0,9.152,0.0,44.361,19.0,5,83.325,1,942,101.0,2.926,0.75,25.929,0.0,0,111.5,0,1711,36.0,2.926,5.774,0.181,8.01
davemorrissey,subsampling-scale-image-view,72,5.625,3.5,2,6.619,0,47,10.9,2.778,6.944,1.583,1.0,1,0.884,1,5,3.0,2.778,0.0,59.194,14.5,5,243.516,3,2061,73.5,1.389,1.389,79.722,0.0,0,641.019,0,5442,10.9,1.389,11.688,0.255,15.097
davideas,FlexibleAdapter,326,6.025,4.0,1,7.618,0,74,15.0,3.988,11.35,2.113,1.0,1,1.641,1,8,5.0,7.362,0.307,48.629,16.0,5,161.342,1,2641,101.0,1.227,0.92,102.31,1.0,0,1467.202,0,26488,48.0,0.307,15.595,0.459,22.34
ddd-by-examples,library,123,6.789,5.0,4,5.611,0,29,14.8,6.504,10.569,1.041,1.0,1,0.297,1,4,1.0,2.439,0.0,14.39,9.0,5,17.853,1,143,28.0,3.252,0.0,5.431,0.0,0,23.41,0,231,7.6,2.439,0.156,0.011,0.163
deathmarine,Luyten,129,2.349,1.0,1,4.124,0,31,5.0,5.426,3.101,1.543,1.0,1,1.591,1,11,2.0,6.202,2.326,52.326,13.0,5,125.38,3,867,92.0,4.651,2.326,15.45,0.0,0,65.418,0,440,19.4,3.101,1.623,0.035,1.837
debezium,debezium,3377,6.826,4.0,2,7.616,0,86,16.0,3.85,12.319,1.584,1.0,1,0.998,1,25,3.0,3.287,0.089,62.21,19.0,5,161.085,1,3664,135.4,2.517,1.836,55.713,1.0,0,523.02,0,24695,45.0,1.155,8.426,0.188,11.682
deepjavalibrary,djl,1666,6.518,5.0,3,5.595,0,46,14.0,4.742,9.784,1.465,1.0,1,0.975,1,8,3.0,4.862,0.12,57.989,31.0,15,91.058,1,1064,131.0,3.421,0.78,132.73,3.0,0,1683.105,0,41905,35.5,0.54,14.127,0.388,22.522
deeplearning4j,deeplearning4j,5669,8.437,7.0,7,9.481,0,217,17.0,2.84,13.953,2.19,2.0,1,19.44,1,1463,4.0,0.018,0.406,98.472,29.0,25,884.737,1,43058,152.0,0.388,2.17,54799.523,7.0,0,2368620.68,0,102982776,114.0,0.053,12.456,0.196,19.298
dependency-check,DependencyCheck,493,7.061,5.0,0,7.659,0,72,15.0,3.448,12.576,1.866,2.0,1,1.001,1,10,3.0,5.274,0.203,83.789,41.0,15,141.919,2,1606,179.0,3.043,2.028,60.014,3.0,0,321.631,0,4460,43.8,1.826,25.46,0.573,47.976
DerekYRC,mini-spring,149,3.409,2.0,1,3.555,0,19,7.0,4.698,2.685,1.221,1.0,1,0.666,1,5,2.0,6.04,0.0,16.591,8.0,3,23.205,2,187,38.0,4.698,0.0,5.081,0.0,0,20.558,0,184,6.0,2.685,2.32,0.191,3.161
Devlight,InfiniteCycleViewPager,41,5.049,3.0,2,6.484,0,34,9.0,4.878,4.878,1.634,2.0,1,0.888,1,6,2.0,2.439,0.0,86.927,12.0,6,322.101,1,2035,145.0,2.439,2.439,102.537,0.0,0,513.513,0,3224,9.0,2.439,11.458,0.154,13.415
Devlight,NavigationTabBar,58,4.017,2.0,1,6.01,0,41,8.0,3.448,3.448,1.31,1.0,1,0.568,1,4,2.0,1.724,0.0,43.759,10.0,5,152.079,3,1150,71.6,1.724,1.724,57.5,0.5,0,389.275,0,2964,6.0,1.724,3.138,0.08,3.517
dianping,cat,1892,5.527,4.0,1,6.049,0,54,13.0,4.757,7.452,1.434,1.0,1,0.708,1,10,2.0,5.973,0.053,51.798,26.0,5,69.97,1,702,126.0,4.757,0.211,23.036,1.0,0,104.206,0,2018,43.0,1.797,1.056,0.024,1.219
didi,DoKit,1569,4.506,2.0,2,5.759,0,71,12.0,4.079,5.864,1.321,1.0,1,0.837,1,18,2.0,5.609,0.191,51.27,14.0,5,105.808,1,1541,127.2,3.697,0.956,71.767,0.0,0,634.399,0,18418,45.0,0.956,11.019,0.286,14.643
didi,KnowStreaming,934,7.196,4.0,3,8.052,0,55,18.0,5.139,12.955,1.819,1.0,1,1.094,1,7,3.0,2.463,0.0,33.744,12.0,7,64.733,2,855,76.7,4.069,0.107,10.322,0.0,0,44.612,0,769,18.0,2.677,4.049,0.172,5.796
didi,VirtualAPK,163,4.896,3.0,1,6.168,0,36,10.8,6.135,6.748,1.613,1.0,1,1.429,1,17,2.8,0.613,0.613,48.963,17.0,8,100.762,2,883,97.0,3.681,1.227,17.577,1.0,0,66.28,0,526,28.0,3.067,3.726,0.099,4.847
diffplug,spotless,899,4.987,4.0,2,4.255,0,49,9.0,3.226,2.447,1.75,1.0,1,1.282,1,18,3.0,1.669,0.89,40.636,23.0,8,51.998,1,612,92.0,4.449,0.111,13.79,1.0,0,95.14,0,2420,26.2,0.667,3.485,0.119,4.834
Dimezis,BlurView,30,5.9,3.5,2,5.683,1,20,16.1,6.667,13.333,1.5,1.0,1,0.731,1,3,3.0,13.333,0.0,31.0,11.0,5,44.5,5,176,103.1,6.667,0.0,7.0,1.0,0,14.203,0,70,14.5,3.333,4.333,0.196,6.067
DImuthuUpe,AndroidPdfViewer,57,4.947,1.0,0,8.271,0,51,12.0,3.509,8.772,1.246,1.0,1,0.606,1,4,2.0,5.263,0.0,58.386,10.0,3,144.501,1,1017,160.2,1.754,1.754,76.789,0.0,0,440.471,0,3311,37.6,1.754,5.658,0.134,7.842
dingjikerbo,Android-BluetoothKit,241,4.075,2.0,1,5.432,0,42,9.0,5.394,5.394,1.241,1.0,1,0.508,1,3,2.0,3.734,0.0,34.635,12.0,3,64.947,2,489,69.0,3.32,0.0,18.701,0.0,0,75.066,0,785,15.0,3.734,1.111,0.037,1.286
DingMouRen,LayoutManagerGroup,63,4.952,3.0,2,4.327,0,17,11.8,4.762,4.762,1.571,2.0,2,0.53,1,3,2.0,1.587,0.0,36.27,15.0,5,48.944,3,290,99.6,3.175,0.0,9.143,0.0,0,38.802,0,304,20.0,1.587,2.118,0.07,2.556
dinuscxj,LoadingDrawable,65,6.508,4.0,2,6.555,0,31,16.0,3.077,15.385,1.446,1.0,1,0.531,1,3,2.0,1.538,0.0,68.123,13.0,10,95.64,5,494,199.6,3.077,0.0,15.831,1.0,0,27.992,0,149,47.2,4.615,2.095,0.04,2.708
discord-jda,JDA,1343,8.851,6.0,5,12.414,0,234,17.0,1.415,13.701,1.823,1.0,1,1.189,1,6,4.0,2.978,0.0,46.473,22.0,5,90.036,1,1586,100.4,2.829,0.447,127.267,3.0,0,1223.021,0,26792,93.8,0.819,28.428,0.976,45.363
DiUS,java-faker,225,4.116,4.0,5,6.383,0,94,6.0,0.444,0.444,1.449,1.0,1,0.498,1,2,2.0,0.0,0.0,29.822,17.0,5,49.601,1,520,61.6,4.0,0.444,40.747,0.0,0,391.206,0,5827,28.0,0.444,4.095,0.161,4.804
dm77,barcodescanner,73,5.288,2.0,1,6.264,0,24,15.6,9.589,10.959,1.644,1.0,1,0.856,1,5,3.0,1.37,0.0,38.301,10.0,5,59.895,3,279,135.8,9.589,0.0,11.822,0.0,0,32.826,0,165,35.0,5.479,1.618,0.052,1.973
dmytrodanylyk,circular-progress-button,39,3.974,2.0,2,4.374,0,22,9.0,5.128,2.564,1.282,1.0,1,0.51,1,3,2.0,2.564,0.0,36.641,13.0,13,85.267,1,528,58.8,2.564,2.564,25.333,0.0,0,131.913,0,824,8.4,2.564,0.098,0.003,0.103
Docile-Alligator,Infinity-For-Reddit,1587,6.933,4.0,0,10.867,0,110,16.0,4.222,11.153,1.552,1.0,1,2.393,1,87,3.0,0.315,0.252,59.967,14.0,8,173.62,1,3554,128.0,2.899,2.079,30.851,1.0,0,314.895,0,6098,16.4,0.63,2.466,0.047,2.825
Doikki,DKVideoPlayer,377,5.326,2.0,1,6.287,0,35,15.0,6.631,11.141,1.592,1.0,1,0.846,1,6,3.0,2.387,0.0,48.928,17.0,5,122.625,1,1987,107.8,1.326,0.796,46.753,0.0,0,392.834,0,6720,42.4,1.326,5.333,0.147,7.215
dongjunkun,DropDownMenu,19,4.526,3.0,2,3.657,1,14,7.6,10.526,0.0,1.368,1.0,1,0.496,1,2,2.0,0.0,0.0,27.0,6.0,5,42.247,5,166,62.2,5.263,0.0,2.158,0.0,0,4.246,0,13,9.0,5.263,2.5,0.107,2.895
doocs,advanced-java,1,0.0,0.0,0,,0,0,0.0,0.0,0.0,1.0,1.0,1,,1,1,1.0,0.0,0.0,5.0,5.0,5,,5,5,5.0,0.0,0.0,0.0,0.0,0,,0,0,0.0,0.0,0.0,0.0,0.0
doocs,jvm,1,0.0,0.0,0,,0,0,0.0,0.0,0.0,1.0,1.0,1,,1,1,1.0,0.0,0.0,5.0,5.0,5,,5,5,5.0,0.0,0.0,0.0,0.0,0,,0,0,0.0,0.0,0.0,0.0,0.0
doocs,leetcode,165,2.612,2.0,2,1.952,0,10,5.0,5.455,0.0,1.006,1.0,1,0.078,1,2,1.0,0.606,0.0,27.091,23.0,13,17.52,8,150,43.0,3.03,0.0,0.376,0.0,0,0.886,0,7,1.0,3.636,0.419,0.016,0.424
doocs,source-code-hunter,1,0.0,0.0,0,,0,0,0.0,0.0,0.0,1.0,1.0,1,,1,1,1.0,0.0,0.0,5.0,5.0,5,,5,5,5.0,0.0,0.0,0.0,0.0,0,,0,0,0.0,0.0,0.0,0.0,0.0
dreamhead,moco,577,5.82,5.0,2,5.758,0,71,11.0,3.293,5.719,1.539,1.0,1,0.853,1,7,3.0,2.773,0.0,30.402,15.0,8,54.15,1,604,64.0,2.773,0.347,34.657,1.0,0,360.831,0,7748,20.8,0.693,0.355,0.012,0.364
DrKLO,Telegram,13307,6.844,4.0,1,13.325,0,490,15.0,2.563,10.476,1.66,1.0,1,16.673,1,1916,2.0,0.045,0.443,119.499,19.0,5,875.909,1,67552,198.0,0.736,4.314,60.838,0.0,0,1064.694,0,93932,22.0,0.503,5.084,0.05,5.952
DroidPluginTeam,DroidPlugin,786,3.302,2.0,1,5.187,0,72,7.0,3.435,2.926,4.388,3.0,4,8.039,1,129,4.0,3.435,5.598,28.373,5.0,2,96.91,2,1373,49.0,2.036,0.763,3.7,0.0,0,23.328,0,304,3.0,1.781,2.773,0.124,3.52
dromara,dynamic-tp,566,4.843,4.0,1,4.36,0,28,11.0,4.24,3.004,1.29,1.0,1,0.671,1,7,2.0,6.007,0.0,32.61,15.0,5,77.513,1,1303,70.0,1.413,0.53,17.742,0.0,0,138.799,0,2875,15.0,1.06,5.463,0.222,7.239
dromara,hmily,877,5.372,4.0,1,4.84,0,37,12.0,4.561,5.131,1.22,1.0,1,0.572,1,5,2.0,4.219,0.0,31.361,12.0,5,56.919,1,563,82.4,3.649,0.228,10.645,0.0,0,56.228,0,794,15.0,1.596,7.533,0.356,11.157
dromara,lamp-cloud,820,7.733,7.0,10,6.001,0,71,14.0,3.537,9.512,1.278,1.0,1,0.456,1,4,2.0,0.122,0.0,22.841,11.0,3,41.537,2,593,46.0,3.537,0.122,7.151,0.0,0,34.164,0,683,15.0,1.707,9.105,0.672,15.356
dromara,liteflow,1965,4.962,3.0,2,4.898,0,61,13.0,4.427,4.427,1.803,2.0,2,0.666,1,4,2.0,3.868,0.0,21.662,10.0,5,35.809,1,440,49.0,3.359,0.0,15.006,0.0,0,122.914,0,2238,6.0,0.967,2.204,0.13,2.816
dromara,Sa-Token,748,4.507,3.0,2,4.382,0,34,9.3,4.011,3.209,1.223,1.0,1,0.779,1,6,2.0,4.813,0.0,36.011,16.0,6,73.408,2,1278,77.6,2.674,0.267,61.146,1.0,0,701.529,0,18559,55.0,0.668,17.043,0.773,27.821
dropbox,hackpad,619,5.089,3.0,2,7.137,0,76,11.0,3.069,6.462,1.806,1.0,1,1.361,1,11,4.0,6.3,0.162,141.73,33.0,5,347.807,1,3222,346.0,3.393,7.431,152.299,1.0,0,963.645,0,19840,155.4,1.939,19.126,0.203,28.704
dropwizard,dropwizard,1384,5.963,4.0,2,5.907,0,57,13.0,4.624,7.659,1.516,1.0,1,1.005,1,13,3.0,3.829,0.217,28.863,13.0,5,48.453,1,688,67.0,3.324,0.145,18.834,0.0,0,214.712,0,6786,15.0,0.506,2.822,0.124,3.573
dropwizard,metrics,688,5.483,4.0,3,4.648,0,29,13.0,6.686,6.686,1.352,1.0,1,0.775,1,11,2.0,2.907,0.145,41.439,19.5,5,60.918,1,496,111.0,4.506,0.0,9.533,0.0,0,39.273,0,664,21.0,2.326,4.823,0.143,5.945
dtinit,data-transfer-project,927,6.841,4.0,0,7.854,0,47,18.4,6.365,15.102,1.266,1.0,1,0.755,1,6,2.0,6.472,0.0,36.264,18.0,5,48.778,1,375,89.8,6.041,0.0,6.877,0.0,0,22.241,0,323,16.0,3.128,3.029,0.12,4.337
DTStack,chunjun,1916,7.14,4.0,3,7.419,0,56,17.0,5.637,14.196,1.565,1.0,1,0.813,1,12,3.0,1.566,0.157,54.441,29.0,5,88.856,1,1929,133.5,2.975,0.522,20.836,1.0,0,119.802,0,4075,36.0,1.357,3.011,0.076,4.16
DuGuQiuBai,Java,619,0.772,0.0,0,1.313,0,15,2.0,2.423,0.162,1.178,1.0,1,0.736,1,6,1.0,3.393,0.0,17.512,12.0,5,22.638,2,287,29.2,3.231,0.0,1.079,0.0,0,5.194,0,99,3.0,2.585,3.016,0.223,3.908
dunwu,db-tutorial,209,5.206,4.0,2,5.165,0,46,11.0,2.871,4.306,1.182,1.0,1,0.551,1,5,2.0,2.392,0.0,53.603,15.0,4,116.799,1,747,118.0,5.263,1.914,32.608,0.0,0,181.501,0,2306,36.6,1.435,4.86,0.124,6.627
dyc87112,SpringBoot-Learning,269,4.454,4.0,2,2.984,0,16,9.0,4.461,0.743,1.026,1.0,1,0.181,1,3,1.0,2.23,0.0,10.372,7.0,5,8.249,1,58,23.0,5.948,0.0,1.454,0.0,0,7.194,0,104,3.0,1.487,1.144,0.122,1.268
dyc87112,SpringCloud-Learning,312,5.878,4.0,4,5.842,0,42,11.0,5.769,6.731,1.045,1.0,1,0.262,1,4,1.0,3.526,0.0,43.244,21.5,5,59.163,2,478,118.8,5.128,0.0,28.734,1.0,0,87.778,0,540,64.8,4.487,3.651,0.085,3.686
eirslett,frontend-maven-plugin,99,5.596,3.0,1,6.246,0,45,13.0,2.02,3.03,1.727,1.0,1,0.946,1,4,3.0,4.04,0.0,37.545,23.0,2,50.039,2,274,96.6,6.061,0.0,7.051,1.0,0,28.254,0,270,11.8,1.01,3.111,0.121,4.525
elastic,logstash,862,5.408,4.0,1,5.905,0,74,12.0,3.132,6.729,1.645,1.0,1,2.194,1,52,3.0,0.812,0.58,47.002,23.0,6,74.787,1,761,111.9,3.596,0.58,21.107,1.0,0,101.327,0,1594,35.0,1.856,4.204,0.126,5.941
ElderDrivers,EdXposed,920,6.065,4.0,2,6.955,0,61,14.0,4.13,8.478,1.603,1.0,1,1.049,1,13,3.0,5.435,0.109,78.037,26.0,5,163.952,1,2104,183.1,3.696,2.174,191.078,1.0,0,2193.772,0,45451,36.0,0.87,25.907,0.527,41.141
elunez,eladmin,282,8.014,5.0,3,7.683,0,37,20.0,6.028,18.794,1.163,1.0,1,0.448,1,4,2.0,1.064,0.0,28.592,11.0,2,49.544,1,441,64.9,4.255,0.0,6.202,0.0,0,19.224,0,177,18.9,3.546,6.969,0.366,10.454
emilsjolander,StickyListHeaders,43,4.814,3.0,2,6.95,0,41,9.0,4.651,4.651,1.395,1.0,1,0.66,1,3,2.0,9.302,0.0,49.116,10.0,3,119.683,3,763,117.2,2.326,2.326,3.977,0.0,0,15.53,0,100,6.0,2.326,3.123,0.084,4.14
enso-org,enso,2523,6.373,5.0,1,6.811,0,102,14.0,3.924,8.205,1.696,1.0,1,1.317,1,32,3.0,1.784,0.476,46.013,22.0,3,75.152,1,1284,110.0,3.567,0.436,35.923,1.0,0,360.502,0,11935,37.0,0.634,5.352,0.16,7.357
EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,91,2.901,2.0,1,2.836,0,16,6.0,2.198,1.099,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,9.824,9.0,3,7.715,1,40,20.0,4.396,0.0,0.231,0.0,0,0.716,0,4,1.0,3.297,2.744,0.528,5.187
Ereza,CustomActivityOnCrash,15,5.4,4.0,0,4.763,0,16,12.0,6.667,6.667,1.333,1.0,1,0.488,1,2,2.0,0.0,0.0,59.533,21.0,5,106.107,3,407,140.0,6.667,0.0,32.333,0.0,0,80.059,0,252,128.4,13.333,14.8,0.414,24.667
ethanhua,Skeleton,33,3.727,3.0,2,3.403,0,13,8.8,6.061,0.0,1.242,1.0,1,0.502,1,3,2.0,3.03,0.0,22.788,8.0,5,27.426,2,103,69.0,6.061,0.0,4.606,0.0,0,14.506,0,65,3.8,6.061,1.417,0.068,1.545
etsy,AndroidStaggeredGrid,36,5.861,3.0,3,6.586,0,32,15.0,2.778,13.889,1.861,1.5,1,1.417,1,7,3.0,5.556,0.0,111.389,27.5,8,326.694,2,1830,134.5,5.556,5.556,155.889,0.5,0,666.973,0,3536,14.0,5.556,13.14,0.187,20.806
eugenp,tutorials,23802,4.118,3.0,2,4.0,0,43,10.0,4.227,2.391,1.112,1.0,1,0.419,1,11,1.0,8.642,0.008,22.102,14.0,5,37.651,1,2879,46.0,1.861,0.038,5.967,0.0,0,40.688,0,2415,10.0,1.042,1.019,0.053,1.168
evant,gradle-retrolambda,25,4.6,3.0,9,3.606,0,9,9.0,0.0,0.0,1.04,1.0,1,0.2,1,2,1.0,4.0,0.0,24.92,13.0,3,28.875,2,119,61.0,4.0,0.0,2.16,0.0,0,9.008,0,45,1.0,4.0,3.0,0.144,3.6
Evernote,android-job,189,6.995,4.0,2,6.055,0,27,17.0,2.646,15.873,1.767,1.0,1,2.349,1,30,3.0,2.116,1.058,56.577,19.0,5,98.115,3,914,144.2,4.233,1.058,32.005,1.0,0,135.395,0,1653,78.0,1.587,8.15,0.203,11.513
exadel-inc,CompreFace,333,7.853,6.0,1,7.325,0,42,18.0,5.405,17.718,1.658,1.0,1,1.33,1,5,5.0,12.613,0.0,23.321,8.0,6,39.396,1,389,59.8,4.505,0.0,3.895,0.0,0,16.05,0,184,6.0,3.604,0.699,0.033,0.781
Exrick,xboot,349,7.415,6.0,2,6.822,0,38,16.4,5.444,14.327,1.212,1.0,1,0.532,1,4,2.0,2.292,0.0,29.413,11.0,5,48.783,2,382,76.0,5.731,0.0,2.656,0.0,0,9.35,0,105,6.0,2.865,9.864,0.43,12.633
Exrick,xmall,316,4.31,3.0,3,5.414,0,34,12.0,5.063,6.962,1.161,1.0,1,0.417,1,4,2.0,14.873,0.0,143.332,42.5,13,233.787,2,1008,576.0,9.177,11.392,632.829,13.0,0,2870.931,0,24268,299.0,3.797,4.188,0.035,5.063
Exrick,xpay,21,6.429,5.0,5,6.882,0,31,12.0,4.762,4.762,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,69.0,37.0,10,97.377,5,393,184.0,9.524,0.0,93.429,1.0,0,288.505,0,1274,54.0,4.762,7.176,0.168,11.619
fabric8io,kubernetes-client,7777,21.937,30.0,30,13.964,0,202,37.0,0.257,63.906,1.116,1.0,1,0.479,1,7,1.0,1.736,0.0,47.489,39.0,55,46.941,1,983,79.0,2.88,0.116,84.858,37.0,0,528.159,0,29655,129.0,0.669,11.795,0.395,18.775
facebookarchive,rebound,87,4.379,2.0,1,5.631,0,30,11.4,6.897,6.897,1.322,1.0,1,0.581,1,3,2.0,5.747,0.0,47.069,13.0,5,110.71,3,931,106.4,1.149,1.149,34.931,0.0,0,238.104,0,2204,19.0,1.149,8.661,0.231,10.851
facebookarchive,shimmer-android,7,8.571,9.0,17,6.655,1,17,17.0,0.0,28.571,1.857,2.0,2,0.69,1,3,2.4,0.0,0.0,126.429,126.0,5,124.388,5,336,265.8,0.0,0.0,18.0,10.0,0,24.481,0,65,48.2,14.286,4.615,0.068,8.571
facebook,fresco,1055,6.646,5.0,1,6.851,0,64,15.0,4.55,10.806,1.418,1.0,1,0.893,1,14,2.0,3.128,0.19,47.802,17.0,5,74.149,1,614,126.8,4.834,0.19,28.742,0.0,0,128.779,0,1706,40.2,2.559,6.961,0.201,9.6
facebook,stetho,588,4.379,3.0,1,5.372,0,45,10.0,4.252,4.762,1.423,1.0,1,1.249,1,21,3.0,2.721,0.51,32.723,10.0,5,54.82,1,472,93.3,5.272,0.0,7.497,0.0,0,31.248,0,465,15.0,3.061,2.381,0.092,2.997
failsafe-lib,failsafe,238,6.387,6.0,7,5.354,0,29,14.0,3.782,7.983,2.063,1.0,1,1.743,1,12,5.0,2.101,0.84,42.126,22.5,3,51.918,2,364,98.7,6.723,0.0,19.176,1.0,0,56.379,0,528,46.2,4.202,9.898,0.357,15.055
fast-excel,fesod,626,6.452,5.0,4,5.945,0,50,13.0,4.633,7.827,1.35,1.0,1,0.792,1,7,2.0,6.55,0.0,35.521,15.0,14,58.584,2,501,85.0,4.313,0.16,29.581,1.0,0,336.719,0,8040,21.0,0.479,8.354,0.346,12.304
FasterXML,jackson-databind,5236,3.773,2.0,1,5.578,0,108,9.0,3.724,3.724,1.71,1.0,1,1.785,1,45,3.0,2.235,1.165,30.962,8.0,2,83.477,1,1634,75.0,2.884,0.573,24.213,0.0,0,422.143,0,26577,6.0,0.439,7.457,0.305,9.454
ferredoxin,QNotified,511,6.006,4.0,2,6.217,0,37,14.0,4.501,9.198,1.63,1.0,1,1.22,1,7,4.0,3.718,0.0,69.434,30.0,5,122.247,1,1390,159.0,3.914,1.37,47.767,0.0,0,505.761,0,11147,36.0,0.587,2.294,0.043,2.98
fesh0r,fernflower,698,4.421,1.0,0,7.851,0,79,12.0,5.444,7.88,1.228,1.0,1,0.626,1,8,2.0,2.865,0.143,79.06,13.0,2,207.826,1,3219,187.2,3.438,3.295,37.566,0.0,0,507.356,0,13203,28.0,0.287,2.768,0.043,3.438
ffay,lanproxy,63,4.238,3.0,0,3.888,0,17,9.0,4.762,3.175,1.19,1.0,1,0.503,1,4,2.0,1.587,0.0,42.349,23.0,5,49.848,2,221,110.4,4.762,0.0,8.206,0.0,0,27.17,0,197,15.8,3.175,3.77,0.123,5.206
firebase,FirebaseUI-Android,284,9.789,7.0,5,8.418,0,41,22.0,5.986,25.0,1.958,1.0,1,1.668,1,17,4.0,4.577,0.352,46.739,29.0,8,61.958,1,631,108.4,2.817,0.352,12.338,1.0,0,34.471,0,376,28.7,2.817,4.462,0.144,6.739
fishercoder1534,Leetcode,5141,1.553,1.0,0,1.956,0,9,5.0,3.968,0.0,1.0,1.0,1,0.02,1,2,1.0,0.039,0.0,27.299,23.0,15,18.614,1,361,49.0,4.24,0.0,0.288,0.0,0,7.394,0,526,0.0,0.058,1.122,0.042,1.15
Flipboard,bottomsheet,68,4.897,3.0,2,5.908,0,32,12.3,5.882,8.824,1.368,1.0,1,0.667,1,4,2.0,7.353,0.0,37.912,7.0,5,88.148,1,599,82.9,4.412,1.471,27.662,0.0,0,176.516,0,1453,21.0,1.471,6.805,0.23,8.706
florent37,MaterialViewPager,44,4.545,3.0,1,4.844,0,26,9.7,2.273,2.273,1.295,1.0,1,0.553,1,3,2.0,4.545,0.0,36.727,16.0,7,64.466,2,332,82.1,4.545,0.0,9.386,0.0,0,26.482,0,142,14.1,4.545,5.483,0.197,7.227
flowable,flowable-engine,8966,6.607,4.0,2,9.48,0,397,14.0,2.498,9.714,1.665,1.0,1,1.046,1,10,3.0,6.681,0.167,58.055,21.0,5,143.897,1,3615,125.0,2.431,1.383,152.269,1.0,0,2937.247,0,206914,97.5,0.39,4.81,0.106,6.127
flutter-webrtc,flutter-webrtc,90,6.633,3.0,1,11.485,0,72,14.1,4.444,10.0,1.222,1.0,1,0.683,1,5,2.0,3.333,0.0,91.967,16.5,5,253.42,1,2034,163.2,3.333,3.333,36.656,0.0,0,211.177,0,1512,23.1,2.222,5.319,0.076,7.033
flyway,flyway,726,5.97,4.0,3,5.801,0,48,12.0,4.408,6.887,1.504,1.0,1,0.939,1,6,2.0,3.168,0.0,43.04,18.0,5,80.609,1,1269,97.0,3.719,0.413,53.196,1.0,0,622.772,0,16351,55.0,0.275,7.249,0.235,10.135
FongMi,TV,654,6.709,4.0,1,8.624,0,76,15.0,4.281,12.08,1.408,1.0,1,0.689,1,4,3.0,10.398,0.0,47.084,18.0,3,98.828,1,1319,111.7,2.599,0.765,100.742,1.0,0,674.744,0,12252,91.0,1.376,0.204,0.004,0.211
forezp,SpringCloudLearning,143,4.552,4.0,4,2.367,0,15,7.0,4.196,1.399,1.049,1.0,1,0.217,1,2,1.0,4.895,0.0,7.853,5.0,4,8.69,2,61,14.4,4.895,0.0,0.545,0.0,0,1.86,0,13,1.0,4.196,0.721,0.094,0.741
Freelander,Android_Data,2,2.0,2.0,0,2.828,0,4,3.6,0.0,0.0,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,58.0,58.0,41,24.042,41,75,71.6,0.0,0.0,3.0,3.0,0,4.243,0,6,5.4,0.0,5.75,0.198,11.5
freeok,so-novel,83,5.94,5.0,1,5.239,0,25,13.8,3.614,7.229,1.169,1.0,1,0.464,1,4,2.0,1.205,0.0,35.771,29.0,5,31.399,2,159,77.8,3.614,0.0,2.759,0.0,0,4.92,0,20,9.8,8.434,3.744,0.168,6.0
freeplane,freeplane,3560,4.548,3.0,1,6.396,0,93,10.0,3.146,4.691,1.565,1.0,1,1.29,1,19,3.0,3.904,0.646,46.515,17.0,5,103.796,1,2512,112.0,3.062,1.011,48.397,0.0,0,532.416,0,20297,34.1,0.758,3.227,0.087,4.042
Freeyourgadget,Gadgetbridge,4367,5.414,3.0,1,8.648,0,272,12.0,2.817,6.961,1.839,2.0,1,1.446,1,55,3.0,2.954,0.321,55.233,19.0,5,133.513,1,3293,122.4,2.794,1.42,38.961,1.0,0,336.514,0,9316,36.0,0.893,3.389,0.08,4.431
frogermcs,InstaMaterial,80,4.788,2.0,1,6.378,0,34,13.1,5.0,8.75,1.538,1.0,1,0.856,1,4,3.0,6.25,0.0,27.788,7.0,5,43.467,3,193,89.1,6.25,0.0,9.938,0.0,0,29.582,0,216,24.5,3.75,0.024,0.001,0.025
frohoff,ysoserial,120,5.458,3.0,0,5.655,0,24,13.0,4.167,6.667,1.342,1.0,1,0.667,1,5,2.0,5.0,0.0,32.092,19.0,3,39.528,1,251,71.1,3.333,0.0,8.892,1.0,0,57.458,0,628,10.3,0.833,1.56,0.067,2.158
fuzhengwei,itstack-demo-design,215,2.167,2.0,0,2.282,0,14,5.0,5.116,0.0,1.107,1.0,1,0.325,1,3,1.6,10.233,0.0,18.567,14.0,6,18.742,1,152,38.6,3.256,0.0,5.326,0.0,0,12.476,0,77,21.0,5.116,1.757,0.127,2.353
fuzhengwei,small-spring,375,3.472,2.0,1,4.017,0,22,7.0,6.133,3.467,1.251,1.0,1,0.828,1,9,2.0,6.4,0.267,27.677,10.0,3,67.12,1,759,53.0,2.4,0.8,12.704,0.0,0,64.737,0,863,15.0,1.333,5.691,0.237,6.571
